Aug25,Aug31,Sept6,Aug23,Aug22,Sept8,Aug21,Sept6_2,Sept5_2,Sept7,Sept4,Sept1,Sept3,Sept5,Sept2,Sept6,Aug27,Aug28,Aug29,Aug28_2,Aug20,Sept9,Aug30,Control
2.08092102167746,1.70166865425805,2.05259912625648,2.81470140642399,3.12994905744083,2.14141361941547,1.8535297877769,2.81891581006699,2.48462104146551,1.89377187804647,2.0694096947807,2.26269004720697,2.03576387192328,2.8736891323759,2.07199585278499,2.38276244368936,2.66306563691989,3.49168460724483,1.78821821611578,3.10746516533649,1.91604065503224,2.73188846412261,2.46631940274089,1.55054326430415
2.14055070924593,1.74823067120811,1.98323704417708,2.83272582358942,3.10904825657293,2.12621530483569,1.80129441843589,2.76784260509443,2.44539205243725,1.88630510781028,1.98540441564709,2.15588657288317,1.99025404319066,2.90830787292764,2.17265579019325,2.33937146993638,2.62338465744933,3.55369587092904,1.93714580705155,3.06772218947594,1.79767056074736,2.65227023074566,2.45219809490914,1.57135004008958
2.18433549942584,1.69099066027549,1.86974553853595,2.83757231834152,3.13545142147384,2.11375768883562,1.7021268136661,2.82794130426617,2.45179341196733,1.93267204903214,1.92977580861794,2.04874914879818,1.95585138144531,2.92654774395338,2.20321198301595,2.34682587757148,2.66383974597598,3.65491615623219,1.93847068036484,3.05277480885468,1.75009032618089,2.58274398709668,2.47383671381731,1.56520474043566
2.23586881334017,1.72302434556415,1.84151922474889,2.8751131760895,3.1694889355764,2.07268678740236,1.67828960802917,2.74778817410553,2.43891369276671,2.0172776526773,1.83709525239495,2.0144900893162,1.9695678862014,2.92865594133775,2.1538967846193,2.38329473911456,2.65783609114954,3.66279418080232,1.93628162086988,3.06441002249494,1.70882721307094,2.60041079068584,2.50527788594575,1.59558653077944
2.29686542770226,1.77741612212247,1.87129387032814,2.92533371887792,3.21648390756184,2.10860892468286,1.61812748098899,2.72823577513307,2.43157159182726,2.0737327171323,1.81544675174509,1.94570215440737,2.00199176550506,2.96687819329761,2.22403023029143,2.36215889855666,2.66564264645792,3.66463635945486,1.93060830736756,3.05278112523826,1.72940874785694,2.63647286391789,2.60546277800186,1.59494693776247
2.31881338969835,1.72341035540345,1.87724055198374,2.93827805359698,3.26898732164279,2.174258664363,1.57357627722097,2.7214050115291,2.43245748829679,2.03720336440786,1.84641121680081,1.92291565716415,1.97304765934856,2.98390427157405,2.26483635848063,2.32280697524823,2.67120567936253,3.65665229809171,1.93625374397885,2.95356686757837,1.7499611091078,2.63793619141047,2.68577224349267,1.6253562994522
2.38136731637215,1.68402717586293,1.88056332607827,2.9387646386502,3.28890202380762,2.20562545363065,1.56989779457853,2.74486890325259,2.50273516716774,2.02609063035785,1.91712847177782,1.94074111326397,1.96823692140523,3.01929964066817,2.2717261815792,2.29613187639665,2.73387330553119,3.66217114113409,1.90430171187032,2.91709996134523,1.78409359902409,2.66501537111798,2.72182504358177,1.59609957890289
2.41816888341292,1.6172236323048,1.89905568107344,2.95192664560432,3.3231730187298,2.2183829930486,1.63812453872621,2.71357953909371,2.55204737650082,1.95806261920048,1.95219007325636,1.88557340962177,2.02020183628973,3.06021047171156,2.30882615289047,2.24188143582289,2.71539817352458,3.68726543496337,1.93368737484702,2.94704670540255,1.82133767488975,2.65883959261531,2.77013446696964,1.63558676867468
2.44505273729053,1.62094637021203,1.90506343025044,2.95158204620981,3.34458788772576,2.25906215852218,1.73144451421564,2.66074483289764,2.5925297730853,1.93789039733893,2.00990572059412,1.9502078664412,2.05586711963182,3.09051086356677,2.31949266182756,2.21563990514154,2.71683333091118,3.69424996350624,1.96479616356323,2.91784077260322,1.79072612157477,2.76118151463879,2.78134557994584,1.68553543845615
2.46055156785267,1.58456452583731,1.9119630533265,2.95423208131694,3.34800324926606,2.30481063967284,1.78486827884123,2.68648094890221,2.67756128494153,1.92150323292853,2.10905266055189,1.96088555975123,2.10029031670134,3.14316043175942,2.34165683428639,2.12944506930466,2.78208983394792,3.67966412272384,1.97924449004422,2.89188055553076,1.88368630289446,2.80181150651466,2.81238565927738,1.6988299000273
