F7,Fp1,Fp2,F8,F3,Fz,F4,C3,Cz,P8,P7,Pz,P4,T3,P3,O1,O2,C4,T4
3.588310014387923,2.594001980502833,2.533289352258731,2.1081237680750426,3.5104304510250826,2.734113048869886,3.014802874243142,3.456946971747966,3.0895753487542033,2.8674620724771622,3.7436424536806174,2.8360910527266303,3.2623971641771234,3.62386122542907,3.1601063228470396,3.417151605783244,2.9969373235114976,3.0827458342272855,2.9548187348136152
2.9413097653974662,2.127087966819607,1.9827274494588767,2.3723356167488734,2.6981360391517093,2.776196261603613,2.4270649826293536,2.215342459259502,2.0849528034205647,2.7149914794957413,2.8095143458366594,2.160378038164366,2.912489220441743,2.6431526606067033,2.8929226787676585,2.8458367875563537,3.0319066264379306,2.8899795743203147,2.1624884195303107
3.509884601832355,1.7046909104942751,2.069495858218475,3.429457350208425,3.886335161131554,3.6247808665546426,3.4741144102692787,3.8534477293104934,3.6767339967981165,3.2583619303560907,3.879681561406982,3.9232298566376005,3.314981102369455,4.038322692292936,3.491724223732815,3.6296405980912816,3.236352014238162,3.7218954829052877,3.7376083907220012
2.6708966989363114,1.685165177628157,1.6127934338051486,2.0396274613884886,1.7133525237576837,2.45805014722317,2.3900456858068666,2.817008293979435,1.8229565593562298,3.3027703915886746,3.5972916529460575,3.1053543009038957,2.4425671289440065,2.5159349882756104,3.1050411021946576,3.188914488708551,3.2088198214191217,2.9853434795250733,2.4760727992360754
3.1434291500638674,2.5629644182410636,2.080210695649063,1.782170019579692,2.784251257826415,2.0874757068550984,1.8040085446118794,2.7358380749419497,1.7742911490077429,3.077360338603142,2.743620754278548,2.664686178483197,2.9233586783763825,3.271035914181483,2.8816782589239778,3.0739076836858676,2.6029283532743017,3.030670010636901,3.035420140184974
2.757092659782624,2.3634770829802867,1.567818605136759,2.496089946213613,2.9974663722046357,3.5513898064202847,1.726080833906108,3.4656059699650354,1.7031718112709537,3.646419922984335,3.643300650875988,2.3624118078517884,3.5074638551771935,2.7974146458547198,3.2167853807404043,4.136987729360198,3.7356310789788485,3.878611366695773,3.508266380656358
2.8644387725367464,1.529786288974414,1.4480385090673846,2.5975075825798744,2.4772950497780566,2.663997211404676,1.6853348922408897,4.1107819576620725,1.5984851569924263,3.465960587892256,3.9557033055930604,2.610895200456602,3.769987977175303,2.984091599855015,3.771627761979692,3.5446592426530983,3.7568046225109484,3.5875344174665016,3.0976574822040406
2.4478706720470176,1.6418287364945634,1.4896967441602096,2.2516990749035695,2.1965222054357643,1.9585498701149366,1.5816509876074338,3.80807831956077,1.6721398923688764,3.5498024648354445,4.019996899607771,1.8950562539129208,4.003242413002367,2.1392143262014796,3.223324044943308,3.4381209373133323,3.615867541885446,3.696438758960218,2.417691885313325
3.133830304401718,2.7250143429546587,2.0214850147507533,2.6476224819121876,3.087553671371575,2.532001071034334,1.9464214836320701,3.4355377926799533,1.9435198514546264,3.070608610878655,3.6096880814987675,2.2234763244971743,4.154623084009099,3.007776912437751,3.390630495024657,2.9872014455980826,3.0520172223953845,3.9035157608123776,2.9777811544022477
3.0954016540195566,3.4952799394487277,2.670903593055733,3.456009998440017,3.297654603377471,2.469848627185164,3.5504001566993413,3.851280474525135,2.9549732247501175,3.5185799582249975,4.049247334308299,3.2458659707366158,3.8525372619036653,3.8598590232547574,3.047718333030755,2.8605647169086286,3.83665026286542,3.6808629289493786,3.7009741722022325
2.8152645952571684,2.3743454571874367,1.836691387307586,2.0757196684767782,2.591960335040834,1.7202125837758357,1.9901685146830859,3.839053920807393,2.0655159721415317,2.760860112176399,4.117826085212651,2.177301190266521,3.7054404420848432,2.4396354660849604,3.6101311945064163,2.652943841977562,2.9345250956966775,3.39897257605116,2.7012626823141974
3.6428375251830927,3.4935043332354447,2.2717053658759236,3.208318692387284,3.030084025606532,3.9039414081716934,2.713645803889397,3.7113496981125174,2.2976026552895403,3.9996691558375366,3.990631484320097,3.0083397182232265,3.959654893472032,3.8885352174153844,3.171249773964018,3.8927256885752066,4.015840191426386,3.945277296415978,3.676327562896099
1.3440574066566757,1.875673432740038,1.3025289493425762,2.299318607005504,2.499114250258763,3.6376867128142765,2.9403054538385196,2.6326151615223257,2.9197727776405573,3.2422484426767224,3.4544111110909617,3.130314420157516,3.850693855066175,3.695805336731721,3.2518578079738645,3.34773031923246,3.1274516172067015,3.573948307866325,3.5484772509377716
2.6837355663641524,3.236087543440961,2.475013925388948,2.6214209780277464,2.567026145323036,2.785126425518781,2.3870984746255126,3.733827578334955,2.2624944147587587,2.690973798850547,3.8295258792975,2.044243904077923,3.1999665280591056,2.3625161783899657,2.7217821621199194,2.4564131572044343,2.7318528953172176,3.371085052697047,2.8105741048807116
3.0449663717080617,3.280505619987483,2.5626028685177764,2.3264100702931167,3.5005344520653217,3.166519578464367,2.977078639774117,2.997688627734666,3.1710699302665404,3.7705303804704196,3.700096628755023,2.6267267252431905,3.826899801754518,3.277152920359505,3.871185094673027,3.76054060015238,3.986210249485036,3.606032330106786,3.6613431323379864
3.6437471148465552,3.3275469800950512,2.7674677958755187,3.137933042757291,3.5034486461407828,3.1684718409576704,2.8227715763192536,3.6771660639446186,2.800848459439696,3.7239560410318195,3.954944956216962,2.265063158579578,3.5198503219168575,3.3752515560355603,3.199613445210418,3.0304846411954673,3.474434230534305,3.705863033824407,3.4174768225210173
2.5150229487131255,2.9336711037579044,2.314444065929273,2.98542635263886,3.2359032066786293,2.6865769534735002,2.43852747602333,3.01075808753551,2.436558813782198,3.1983107305246214,3.4207920613804794,2.5539462324041393,3.6182524625112484,2.9075344992020717,2.8565081975276416,3.23445149414311,3.429059736982785,3.5181926475833065,2.9342219651178
3.2451964831698623,2.6512827672632424,2.16991428566565,2.6837291810568726,3.3129928385959517,3.7740746684658486,2.775850449230385,3.3963690925323093,2.878915588426354,3.8087518419305106,4.027660757427939,3.4025511525085226,3.7732130300352114,4.29572615112786,3.0353663167499456,3.7588330313400027,3.963634885701087,4.060072260842847,3.8392464846192524
3.2524501995383606,2.373149831111096,1.7668209585472234,1.5435639630673161,3.085782168929097,2.4718512337142347,2.439490530911038,3.187493006480148,2.204093546310496,2.6833951491759938,3.2480171847284938,2.129278042440338,3.448034469719283,2.9768847563044725,3.254515983170792,2.6159628858188215,2.726364338240738,3.386721989410474,2.3915416194726693
3.5177644178145564,2.9471380720951346,2.7701688276029945,2.989241227853477,3.4938659622910038,3.4414335990376066,3.1494470240844734,3.4165756153637217,3.093172837809085,3.955181099746867,3.829587615156516,3.807019124696596,3.4173296939300783,4.1083104369476295,3.01185688092763,4.019860452691614,3.5155794361856,3.5787832627635656,3.858593941039977
2.0692963913559588,1.8128424098026423,1.7746082145465025,1.7191808531103303,1.9065763718197943,3.468106820822486,1.8740157974950942,3.387576270814064,1.8893966462951883,3.014552229985015,3.80251068461884,2.3059557686130145,3.8252420313741435,2.0351359848577415,3.891345366624615,3.367052181964673,3.5801273055693428,3.898686275675259,1.9206147411276842
2.497955283596609,1.165025789932247,1.1271874840012268,2.7547453487394744,3.940152430993283,2.7818931200217585,2.7809596227455295,3.9279171802681008,2.6895801242913504,2.773298109919791,3.948495360563513,2.5722238998616,3.6656028667908873,1.9354533640045997,3.616793363884727,2.7590550630462713,3.228653771403023,3.2748713126040827,1.667125677078095
2.9942209161584334,3.0696829530755165,3.3323230694219452,2.9794960488526723,3.1766676642493406,2.9243064059621955,2.133155079411948,3.4926970566471005,2.612025689826971,3.353258925784167,3.802302975242757,2.4743860547284355,3.1985080948457445,2.6064800531943826,3.314201778057767,2.964107707767772,3.1923949695661173,3.251586329000447,2.624626466052361
3.4086996434265715,2.8279367109129856,2.5189880446195363,2.3522488391344263,3.4007191712097375,3.1430957739526186,2.2718273798992032,3.345043862908173,2.9402609270474076,3.7895179961368264,3.947858409558703,2.7208516074742883,3.429465311892109,3.217074417722076,1.5985115070534563,2.883480607185421,3.426983121856416,3.6677145407695675,3.168948038331912
4.099607173759274,3.155062645949501,2.9385102462424233,2.9447768714627243,3.6499844102373014,3.5885420669736443,3.101913052791669,2.785582205115238,3.471055216684243,3.803019279893271,3.8661947197382167,3.413276887757501,3.457782432341611,3.7800262317383564,3.5505280933851653,3.5459347157899157,3.4747385412966616,3.7079860754317937,3.816341647747777
3.597271474530225,3.696614845633458,3.7130813246266863,1.8625336080715147,2.655294877778821,1.9881207783266746,1.8640232662881246,2.8176116586019324,2.145554044162368,3.3619971869223586,3.245274239958963,2.5358346739083077,3.3233717585471774,2.3213143841223522,3.0570640360633625,2.9496989883017353,3.0818310759552054,2.795005506276777,2.5220972193714823
2.6405970497108044,2.5438382438451708,2.8783854566614724,2.0651735404938956,2.564080784570377,1.8539340873319126,2.0505437165152256,2.3963256275822293,2.354651312955058,3.4352641670930733,3.4630665858770002,2.9628453738347957,3.2284870447982943,2.5103773240168517,2.3777881721443053,3.4146181906208866,3.246681395135109,3.1256580723443865,2.8611785183516414
3.895264185231916,2.221994363723364,2.3536342637717853,2.7903902279187847,3.2683108325567156,3.0940862468894217,3.300441030657641,3.071501471204133,3.704860266237883,3.433084750043446,2.946247476516674,3.437347902563532,3.170363570142915,4.224594568079805,3.2885723542668814,3.608077842799112,3.0273385131183774,3.251532125927063,3.606303175422317
3.4306446545759592,2.5319859440692096,2.304029813038832,3.8985280497729233,3.271678298693053,3.259257263973205,3.856820338212988,4.157081110192414,2.469045096781478,3.8159341631200845,3.9067211909876285,2.896271965292914,3.7175336256424063,4.085536010620838,3.118843504683538,3.394288917734714,3.370344213825199,3.9233325891492745,3.8538090260104005
3.8122647628273043,3.5167570986493626,3.463202406832876,3.76818046094729,3.9994795447682416,3.0929800491005213,3.8301233879147976,4.228472121384528,2.8120771253568346,3.853755037126904,3.897766661191391,3.0328463769475165,3.6584041781764527,2.682688313229403,3.4296498968988702,3.6153105723930405,3.5029330480598944,3.753995269160349,3.932805417657437
3.8274581817370303,2.9406336012001204,3.3226491942749314,3.275519766412748,3.2221443338847306,2.7199313126113815,2.4622927284262155,4.113136352214331,2.0947571630559843,3.7610449389723546,3.7167214299312286,2.940359302217519,3.6871085741418437,3.867293154653862,3.5402424144055296,3.2681076870810863,3.6565780289074796,3.790540297048153,3.682616726925933
3.9478818840457075,3.203897920000894,3.530884099983025,2.2143113750336996,3.8466866439469647,3.1209382579768077,3.1409402871311203,4.044573922130505,2.740995686201837,3.9394349905580874,4.187867007076529,2.69397257292662,3.9847319537928194,4.2008421117999495,2.926381939674685,3.086418540078865,3.9231291239824784,3.997004554644857,3.967594139072704
3.878340024496206,2.8674442722605846,3.4077680756396505,3.7082292403195765,3.3533657259488816,3.359125507356146,2.549682956224033,4.049017921717151,2.113064281817828,3.8289335076264703,4.0554138459229865,3.0922366334125,3.7207566738876108,3.745375104040077,3.461000821917005,3.1447637553252945,3.3392655975502796,3.8088487376734355,3.63783055633675
3.702086163370287,2.0904402165794265,2.1737750126243216,2.975984742098942,2.9719672448599472,2.6071759060856783,2.1786174120302837,3.6504332721323953,2.2083620304542317,3.657593954511323,3.905691454885821,2.8245509468005117,3.6092982076770546,3.245205002013597,3.2149975607754406,3.309115607537957,3.745054257673576,3.628906500342825,3.240650780887644
3.7729122753597344,3.0927161836113832,3.2500634318147203,2.246017894094607,3.7590739369891715,3.6232426236087334,3.325781813238944,2.802254783669542,3.1630948878733047,3.9343014495132405,3.9082547464277795,3.6867743955831442,3.6993379155206374,4.081649842297346,3.6164657034659897,3.5789917753494,3.731940080829702,3.827249846178879,3.8756456053545527
