F7,Fp1,Fp2,F8,F3,Fz,F4,C3,Cz,P8,P7,Pz,P4,T3,P3,O1,O2,C4,T4
3.630276246916337,2.578422216665784,2.2225368007771595,3.460429919765983,2.8811547914099553,2.5846678103136758,2.139516023467048,3.2961003378079683,3.427559878611513,2.026201639676877,2.4823635166046576,2.00723587003327,2.5275045942548973,2.202964512059461,2.1489540374583216,1.7569472790924663,1.6936743168265855,3.474279712558621,2.498672132543616
2.7856301068998897,3.080290031343746,1.842476160067734,2.601339659267679,2.3143463120396337,2.07412300544164,1.577809763137551,2.714077270887905,2.0897240777031305,1.9177724239038885,2.517614760622776,1.7731492032459317,2.482845774012042,2.2293333201249577,2.1235377413883163,1.557128861772463,1.6586915577587802,3.1189420950326787,1.9491889887852833
3.5770841519438776,2.690123527201678,1.8573044988247824,3.4792728040852428,1.7887603450301157,2.101116525371397,1.9929882106022332,2.825099858017641,1.780216488477625,1.8622162662625594,2.758606074258455,1.6930518751757695,2.3752541307185564,3.0444869940603674,1.8088496705475778,1.6994776839756511,1.9307639471641294,2.5454074604734194,2.6074411931238735
3.432986385904332,1.7844767545417441,1.4092889504766175,2.8654272454724414,3.2137332717703986,1.6295585325648343,1.4949163500986316,3.531538505044205,1.4864582219738904,1.5900219996984513,2.443158235908837,1.4486192590455043,2.0290910697554922,2.1776829008076324,1.475163307935065,1.4678134133243312,1.4762173869994721,2.1423024320359914,1.793981165641185
3.7810840157201104,1.6292980381847268,1.3858648645637983,2.7813190908187533,1.774635716160254,1.4526680776120993,1.4196457814520986,2.810487000320626,1.3677593605588667,1.5252192621134875,2.470205655026832,1.4175547200622678,1.8183660710912462,1.7355588113959641,1.5587462125904987,1.494596710033922,1.464664065339118,1.8486027976362716,1.7507234520687598
3.7277237312261513,1.8121729377253397,1.4674464695111515,2.7045658857156774,1.915500230098394,1.6255000792083247,1.5312282322746475,2.7352295014275243,1.5416310096820367,1.535375158786102,2.1182659101174712,1.5166582553467765,2.043278110120012,2.0685026765318035,1.6349193296868274,1.6844541935571986,1.7423418823792658,2.085362982979859,2.008361378575116
4.10296570495341,2.3619676276222843,1.5697197423334646,3.661587289607903,2.2502771507103034,1.9366225634616232,1.6091671334845101,3.049505021717126,1.797416765413217,1.7990878501915781,2.707146654336672,1.7373325266422026,2.3287176013402973,2.2894696041009883,1.7662332153116365,1.6506793813198752,1.990952459285922,2.2390526689948587,2.3487306233690495
3.1605514577387575,1.7279861188405556,1.4801038650035998,2.8278050783274606,2.2209308419382743,1.5930525667442414,1.5486351870321355,2.286839316000183,1.7025118215576696,1.6832099825399531,2.2278984035142524,1.6986506805866866,1.9021948679902787,2.038588214021618,1.664592222845386,1.6824333575934876,1.7517053270018699,1.659331421401244,1.9446440606320654
3.564039034178802,1.9227246047858018,1.55463953614515,2.720238358980987,1.664470646002611,1.6754890731279461,1.6421555965862493,2.9033970597444645,1.588745166951139,1.6935525276803605,2.5997427216741147,1.655788659998454,1.9942825992083884,1.946998966287396,1.6846460920871114,1.5796716590408597,1.6949643734817015,1.9542591425506972,2.4006692237334306
3.543262888727506,2.8184238301389977,2.0932786896292384,3.3857981699240773,1.5618962773402638,2.2000941617338823,2.1706099521499502,3.151689005246749,2.036644204947946,2.1342905402681858,3.06217313728204,2.1564940717214913,2.3145332520013406,2.703646279092653,1.9922200812410478,1.8619988366739257,1.8591676952973537,2.6307727203622564,2.763556049922573
3.0064832010942,2.233720628446349,1.6414035157453353,2.3321500416794807,2.407512032558954,1.8207497425690147,1.7514384178877866,2.5115541806027557,1.7263917857975295,1.9615093009998879,2.5752613517660516,1.840116115199281,2.259163807535077,2.2816023017423226,1.7637950198109924,1.7820789177517526,1.9803118721528572,2.1670323324055114,2.235494211678911
3.981706402246314,1.8757559632942504,1.5610199101754116,1.884945933614273,1.9202621104254038,1.6898389205110338,1.6251458273729713,1.8793906813010637,1.6291073780556384,1.7838071391101957,2.0504101355318105,1.7922470829760093,2.087994158707329,2.4072622053960675,1.8591192913950578,1.7807372394790777,1.804957228449306,1.8195862838972645,1.9611036682886627
3.869333401385772,2.945076656138992,1.610350821255247,3.291523127332734,2.7523438937995035,1.8191450344846332,1.5341509342098874,3.249565885779215,1.6266768694929596,1.8160393910162704,3.3240020461058055,1.9333117823229315,2.444706178178085,2.3239863057251204,1.8279329031340377,1.9124322185383207,1.9217755646441779,2.2099976063614544,2.6227702440603515
3.8834756055012125,2.808476006640352,1.9121978047296027,3.2374722826317566,3.0519181261626604,2.316978282201669,2.1365409013111325,2.175649768371206,1.879101374311896,2.194129334187293,2.7415880550402187,2.1221386032672336,2.1748745650489356,2.9364318914272047,2.0165699099798546,2.196182830489703,2.193470492672342,2.3475940524979517,2.388315301581428
4.099195834218304,2.5730315353685524,1.7496216899562733,3.0627667356542863,3.1475697859140057,1.8605867015743693,1.8359859087158865,2.7785966420273067,1.7234935529413589,1.8576584177746838,2.864376064237106,1.7275983616520034,2.1286607164998728,2.329122756448079,1.6348353809301561,1.6399173862023333,1.747453520486379,2.004903854935978,2.09686407417944
2.8512815955034574,2.5953649665982397,1.5942723478363876,2.645952134817386,2.1544462723670144,1.8495287486655874,1.85427402734972,3.52957759077987,1.6650400947077393,2.2380982848420716,3.573714171553817,1.9982742739783605,3.0236955881212704,2.229365861083396,2.150548209627895,2.3014263521568354,2.2608296892777533,2.3667538378517126,2.495726777548011
3.3663635572316317,2.0639328284288148,1.7845481856410277,3.001954255374702,1.7382901786045935,1.922371791427601,1.871395616487266,3.722343787951601,1.8222567067849738,1.9150669957963147,3.6563789610544943,1.9229842237326864,2.214644851734029,2.3032339012461716,2.044352159696186,1.9696338273300333,1.9025954953084026,2.249748704518879,2.2857060589437173
3.936997528493286,2.846187104388101,1.7888843453976677,3.012524554573144,1.8193692091971936,2.0216668125606274,1.6909311349771898,3.42792905123791,1.789778627310534,2.0873709655011794,3.603424757539766,1.8524939829361007,2.5880689447905256,2.5433407873226432,2.0086714533950367,2.081375119770064,2.2364548063514116,2.3752881798142056,2.5527079534504247
4.028661433174304,2.413765868604567,1.593643663347294,2.8465482923645316,1.7380766328799493,1.84004115027237,1.7774237260732741,2.7094373933447837,1.7455161085922275,1.7656244968412809,2.4806804892388845,1.949127654807484,2.120563551881291,2.4073357668552195,1.8018759811747052,2.013278388335966,2.319398745232036,2.1625897189071073,2.0513026820440112
4.082653940929593,2.41841797664842,1.6093117475045382,2.786573657133772,1.349987708268405,1.7199497039259957,1.6850901711707527,3.5416239672780003,1.526960497883355,1.6450519351366286,3.6614488787191397,1.5908604863000129,2.4189787755299617,2.426433915295546,1.7987553293450547,2.1648577568004836,1.701071846807313,2.177419673308594,2.275598591309455
4.231952879102638,2.3880576904133104,1.8325940895110608,2.7196572590689927,1.4543559276606,1.8391966915242077,1.8839329994261835,3.2880217452050102,2.0953084076525035,1.9811499394768546,3.6267444849630333,2.2268151312678013,2.428522748314473,2.3540093540111378,2.191179948507693,2.2197002247698467,2.3130483699271975,2.3530492535223093,2.3041613395448106
3.7664433458468043,3.019738335648033,1.9588469508991064,3.5323406806728244,1.8361888798915618,2.1249250475444974,2.0486379680044093,3.298317122500892,2.082577363718718,2.5693457562756468,3.4879603915703368,2.145973229860098,3.065005448091495,2.355002998987278,2.4696109534536097,2.5953665154463548,2.2974916457497248,2.851136353437243,2.696881959140119
4.188003941299243,2.8122337007970506,1.9041159548375697,3.460692115533733,2.2576477747299912,2.28791813704458,2.1334635453470785,3.8359492547084892,2.0083168969614977,1.9159499594980252,3.5847513467566836,1.8688267464095532,2.3991730503850883,2.658334948810403,2.0490687687856464,2.15589060863036,1.9603243278286084,2.486094703955352,2.3317643047825385
3.819824501141719,2.414312272826305,1.7451216742639755,3.6081534581861803,2.135035353439983,2.054549321965378,1.9368384806916734,2.2202575449160156,1.874969607612834,1.9254081458523158,3.488531819329624,2.1013695096533223,2.655396298837215,3.0448041289689214,2.0411512229335145,2.0915973274313218,1.8832178034212574,2.5519840966419083,2.1809986829173016
1.9918928365360904,1.2423326372461678,1.3641053268096577,1.7613757096507672,1.9646808553981927,2.1490275061285957,1.999402469300363,3.8812322951455225,2.160289881435483,2.310508635165524,3.5873281748494734,2.4653197225571786,2.7418432875916565,1.7253097039599525,2.6102944353239246,2.4359375738534763,2.7727800055718124,2.9984064688254572,2.3802121431482446
3.7807446635466446,2.1762738863695983,2.3356892716770763,2.5536442541409166,2.7577858615360866,2.03834943311541,2.124768201591854,3.5414736237328097,2.017068538827439,1.8726950242137295,4.099164586467521,2.2834985350198007,2.3664382339271803,2.120244572417083,2.2569220698252175,2.186625817128357,1.7732861131003923,2.870491968795167,2.061486066184608
