F7,Fp1,Fp2,F8,F3,Fz,F4,C3,Cz,P8,P7,Pz,P4,T3,P3,O1,O2,C4,T4
1.3263231447961619,1.2359494654274827,1.195426459803726,1.7553189498972939,1.5664296927443073,1.4582828472409357,1.3287837077990035,1.5279604677240735,1.868880940948019,1.4699993603418466,1.950551574019095,1.7391530304296372,1.4490678660980383,1.592795675775873,1.4954367899620933,2.2777863344601075,1.6415264489377335,1.4981956067043887,1.2756564646863269
1.3168149095452975,1.352379984630493,1.5221296156146749,1.6939099269862228,2.196818151465234,1.9824833457738278,1.60503174496854,1.5212371459192773,1.524902556185194,1.7251733090087462,1.584754701392668,2.6839439728504,1.7592066276467957,1.497127290515759,2.1195242343251346,1.9982199729364958,1.5435038446769669,2.0642101619576527,1.4655299343378159
1.6416605822406836,1.6628257524204852,1.124123022005094,1.2588467873002718,1.917726102773459,1.3916113152075262,1.1694574326829892,1.6701576351277032,1.6160913180217864,1.7134733804260902,1.547077627539892,1.8365074946098399,1.4030931928150014,1.8446702693288637,1.6872996479177327,1.7635860124179723,1.2649845623508638,1.2582380663025372,1.5217289056173986
1.3737943278385476,1.2328373661457153,1.2198106464483733,1.4399024537033602,1.1591061421306186,1.2312589737836948,1.0506985479973525,1.255145160991776,1.4270682574718392,1.2954467231892726,1.1601819223055185,1.8547725763715737,1.2177284734825302,1.2250784563618007,1.187957113677017,1.6313160285299866,1.2679885836509366,1.401780182093577,1.1914434197685675
1.1566187598410347,1.1588120866695297,1.1704215058327996,1.2622974592230762,1.3061282765914144,1.5197657109576928,1.2758281107065153,1.6434619317284311,1.5593068295649224,1.4054383924356573,1.2807078194993418,1.8212569422747984,1.3191243268718251,1.2850229399069106,1.8484324223558357,2.0487850309605204,1.453685674881912,1.5555695862568708,1.2475033276838212
1.5732417456631425,1.1977063513199282,1.1660627102112873,1.53285092486762,1.2194499073795637,1.2775091406692098,1.3902796727254354,1.2883867255205448,1.2878684654770705,1.3951272203611467,1.207097893619311,1.4544089669982556,1.230696152601307,1.3371205582996182,1.2242616576232026,1.5841547138204546,1.2319231805629858,1.3471463419846303,1.226151040610146
2.1068382562611885,1.5162296754716376,1.4374533560509084,1.7838515606045715,2.1477259571602056,1.867945136506556,1.3950266367771262,2.4497537912026064,2.9453536931966995,2.1916575180986313,1.9395750901917883,2.1613786956127115,1.889020566407789,2.045509073603809,1.6805001969795026,1.9860784838470087,1.862605644053526,2.610544156561909,1.7079996438737113
1.4936695033841096,1.165088028259284,1.1687140670575553,1.6769704705099016,1.4264119947885294,1.4529595286914143,1.2491936200881615,1.25853118638852,1.6469655590236554,1.4377904400155055,1.2794586420606304,1.553759381118504,1.1961048876332467,1.357103872465333,1.2520887732331525,1.8839319152171443,1.511007597677361,1.446809516902598,1.3994625416086466
1.6664677112963124,1.5396575209212195,1.213607826116181,2.3593745055404103,1.5263987420065344,2.4261473637753275,1.4752304277959924,1.4363651046984074,1.2096306079808337,2.0025761100105797,2.1264492048851444,2.3612182421882193,1.6718045477144057,1.8814067539902513,1.3095822373745858,1.7838617213155346,1.3917236856281734,1.4535476494954478,2.3176239217201418
1.2400523383058504,1.1852298690163072,1.2013259840168333,1.1743858916389882,1.3133339832674464,1.2187202751604609,1.2137081057667458,1.5649170952117708,1.8550145892328895,1.6758504879419578,1.3434826555018446,1.6366062971390136,1.7815032244353466,1.380423583275553,1.4686045089615294,1.661309778042746,1.6738379551421971,1.309905250030262,1.3417502556526184
